filename	name	ner	type
אין צדק בעולם.txt	ג'אבר אוסמן	הלכתי הרחוב	LOC
מדינה זונה.txt	ג'אמוס	ה י	LOC
מדינה זונה.txt	ג'אמוס	שבו האשה מוצצת.....ולא!	LOC
המילים של אריק.txt	ג'ה-נוס	ארץ ישראל	LOC
ברצלונה.txt	ג'ו עמר	ברצלונה ברצלונה	LOC
ברצלונה.txt	ג'ו עמר	ברצלונה ברצלונה	LOC
ברצלונה.txt	ג'ו עמר	ברצלונה	LOC
ברצלונה.txt	ג'ו עמר	ברצלונה ברצלונה	LOC
ברצלונה.txt	ג'ו עמר	ברצלונה ברצלונה	LOC
הריני שר.txt	ג'ו עמר	אביב	LOC
ושמרו בני ישראל.txt	ג'ו עמר	שמרו בני ישראל	LOC
ושמרו בני ישראל.txt	ג'ו עמר	ישראל	LOC
ושמרו בני ישראל.txt	ג'ו עמר	שמרו בני ישראל	LOC
ושמרו בני ישראל.txt	ג'ו עמר	ישראל	LOC
ללא כוכב.txt	ג'ו עמר	נשר	LOC
שיר השיכור.txt	ג'ו עמר	עד	LOC
שיר השיכור.txt	ג'ו עמר	עד	LOC
בוסטון.txt	ג'ודי ענתבי	אל בוסטון	LOC
בתוך החדרים.txt	ג'ודי ענתבי	פרו	LOC
אחכה לך.txt	ג'וזי כץ	אדום	LOC
בובה זהבה.txt	ג'וזי כץ	אבא	LOC
בת הרב ואימה.txt	ג'וזי כץ	ישראל	LOC
בת הרב ואימה.txt	ג'וזי כץ	המצור	LOC
החייל של אתמול.txt	ג'וזי כץ	אתמול	LOC
החייל של אתמול.txt	ג'וזי כץ	רם	LOC
זמר נוגה.txt	ג'וזי כץ	לָעַד	LOC
מישהו תמיד.txt	ג'וזי כץ	תמיד	LOC
מישהו תמיד.txt	ג'וזי כץ	תמיד	LOC
תני לי להחליט.txt	ג'וזי כץ	כבר	LOC
נתאחד הללויה.txt	ג'ולי עידן לוי	י	LOC
אתה לא רומיאו.txt	ג'ולייטה	ג'ולייטה	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	סיני	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	סיני	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	סיני	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	בחוץ'	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	סיני	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	סיני	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	ארץ ישראל	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	ארץ ישראל	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	סיני	LOC
בהאחזות הנחל בסיני.txt	ג'ולייטה	סיני	LOC
בוא בוא בוא.txt	ג'ולייטה	הרחוב	LOC
בוא בוא בוא.txt	ג'ולייטה	הגלגל	LOC
דרמה.txt	ג'ולייטה	פריז אירופה	LOC
ירושלים של זהב.txt	ג'ולייטה	ירושלים	LOC
ירושלים של זהב.txt	ג'ולייטה	ירושלים	LOC
ירושלים של זהב.txt	ג'ולייטה	הר הבית	LOC
ירושלים של זהב.txt	ג'ולייטה	יריחו	LOC
ירושלים של זהב.txt	ג'ולייטה	ירושלים	LOC
ירושלים של זהב.txt	ג'ולייטה	ירושלים	LOC
ירושלים של זהב.txt	ג'ולייטה	ירושלים	LOC
ירושלים של זהב.txt	ג'ולייטה	קורא הר הבית	LOC
ירושלים של זהב.txt	ג'ולייטה	יריחו	LOC
ירושלים של זהב.txt	ג'ולייטה	ירושלים	LOC
לא יודע כלום על אהבה.txt	ג'ולייטה	ארגנטינה	LOC
לא יודע כלום על אהבה.txt	ג'ולייטה	ארגנטינה	LOC
מלכה גדולה.txt	ג'ולייטה	זוהר	LOC
נכנעת לאהבתך.txt	ג'ולייטה	שבת	LOC
רק שיהיה ברור.txt	ג'ון סטון	עם	LOC
רק שיהיה ברור.txt	ג'ון סטון	לעשות לייק	LOC
הבלון שלה.txt	ג'וני	לשעבר	LOC
זוג יונים.txt	ג'וני שועלי	פראג	LOC
כבר החורף.txt	ג'וני שועלי	שוב	LOC
ערבית.txt	ג'וני שועלי	דינרי	LOC
